name,Collaborated,query_county,city,query_purpose,person_with_relationship,org_contact,org_contact_title,phone,email,contact:email,website,latitude,longitude,osm_id,osm_type,access,air_conditioning,alt_name,alt_name:en,alt_name:vi,amenity,amenity_1,architect,architect:wikidata,area,barrier,beds,branch,brand,brand:contact:twitter,brand:wikidata,building,building:levels,building:material,building:part,building:prefabricated,camera:mount,camera:type,capacity,check_date,check_date:opening_hours,club,community_centre,community_centre:for,construction,contact:facebook,contact:instagram,contact:linkedin,contact:twitter,contact:website,contact:youtube,craft,cuisine,dance:style,dance:teaching,denomination,description,disused:amenity,disused:shop,disused:sport,disused:tourism,disused:website,drinking_water,ele,emergency,fax,fixme,gnis:feature_id,government,hackerspace,healthcare,healthcare:speciality,height,heritage,heritage:operator,hist_name,historic,historic:amenity,historic:name,image,indoor,internet_access,landuse,layer,leed,leisure,level,lgbtq,loc_name,man_made,min_age,name:am,name:en,name:es,name:etymology,name:etymology:wikidata,name:ko,name:signed,name:vi,name:vi-Hani,name:zh,not:amenity,note,office,official_name,old:operator,old_name,old_name:es,opening_hours,opening_hours:covid19,opening_hours:signed,operational_status,operator,operator:short,operator:type,operator:website,operator:wikidata,owner,owner:wikidata,paloalto_ca:id,payment:cash,payment:contactless,payment:credit_cards,payment:discover_card,payment:mastercard,payment:visa,pet,pets,redwood_city_ca:addr_id,redwood_city_ca:bld_gid,redwood_city_ca:bldg_id,ref,ref:nrhp,religion,residential,roof:levels,roof:orientation,roof:shape,scents,second_hand,service:bicycle:repair,service_times,shelter,shelter_type,shop,short_name,short_name:en,short_name:vi,smoking,social_facility,social_facility:for,social_facility:for_1,social_facility_1,source,source:addr,source:url,sport,start_date,strapline,surveillance,surveillance:type,surveillance:zone,survey:date,theatre:genre,toilets,tourism,training,type,was:addr:housenumber,was:addr:street,was:addr:unit,was:amenity,was:name,washing_machine,website:calendar,website:menu,wheelchair,wikidata,wikimedia_commons,wikipedia,addr:city,addr:country,addr:county,addr:floor,addr:housename,addr:housenumber,addr:neighbourhood,addr:postcode,addr:state,addr:street,addr:unit
Elders Inn,,alameda,,social_community,,,,,,,,37.7771832,-122.2777543,1331721219,way,,,,,,social_facility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,assisted_living,senior,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piedmont Gardens,,alameda,,social_community,,,,+1-800-496-8126,,,https://www.humangood.org/piedmont-gardens,37.826444,-122.2516109,1332984058,way,,,,,,social_facility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Human Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,group_home,senior,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mercy Retirement & Care Center,,alameda,,social_community,,,,,,,,37.7829022,-122.2206255,1341632725,way,,,,,,social_facility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,assisted_living,senior,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pacifica Senior Living Oakland Heights,,alameda,,social_community,,,,,,,,37.7953581,-122.225792,1341959853,way,,,,,,social_facility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rough outline of center based on fence line,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,assisted_living,senior,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fred Finch Youth & Family Services,,alameda,,social_community,,,,,,,https://www.fredfinch.org/,37.8001577,-122.2069594,1354709902,way,,,,,,social_facility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fred Finch Childrens Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oakland,,,,,3800,,,,Coolidge Avenue,
Housing Navigation Center,,alameda,,social_community,,,,,,,,37.5523459,-121.9811436,1370136918,way,,,,,,social_facility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,shelter,homeless,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ashland Roots Center,,alameda,,social_community,,,,,,,https://www.haywardrec.org/Facilities/Facility/Details/Ashland-Roots-Center-148,37.6985001,-122.1176228,1391888026,way,,,,,,community_centre,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,Hayward Area Recreation and Park District,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ashland,,,,,16100,,94578,CA,E 14th St,
Creekview Health Center,,alameda,,social_community,,,,,,,,37.6956792,-121.8535586,1408208096,way,,,,,,social_facility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,assisted_living,senior,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lincoln Retirement Villa Assisted Living,,alameda,,social_community,,,,,,,,37.5347308,-121.9567434,1411625881,way,,,,,,social_facility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nursing_home,senior,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carlton Senior Living,,alameda,,social_community,,,,,,,,37.5477366,-121.9808501,1412287445,way,,,,,,social_facility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,assisted_living,senior,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cogir of Fremont,,alameda,,social_community,,,,,,,,37.5574685,-121.9858619,1416894455,way,,,,,,social_facility,,,,,,,,,,,,,,,,,,,2025-04-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nursing_home,senior,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fremont,,,,,2860,,,CA,Country Drive,
Aegis Living of Fremont,,alameda,,social_community,,,,,,,,37.5465287,-121.9802723,1420102708,way,,,,,,social_facility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,assisted_living,senior,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sunrise Village,,alameda,,social_community,,,,,,,,37.4944312,-121.9287582,1423223865,way,,,,,,social_facility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Abode Services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,shelter,homeless,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,588,,,,Brown Road,
,,alameda,,social_community,,,,,,,,37.7837833,-122.2346483,1443346838,way,,,,,,social_facility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,temporary homeless shelter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,shelter,homeless,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Visitor Service Center,,alameda,,social_community,,,,,,,,37.548096,-121.965347,2024225174,node,,,,,,community_centre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fremont,,,,,40000,,,,Paseo Padre Parkway,
Marvegos Fine Arts School,,alameda,,social_community,,,,+1-510-770-0671,,,https://www.marvegos.com/,37.5555388,-121.9507016,2480681680,node,,,,,,arts_centre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40085,,,,Mission Boulevard,
Pleasanton Senior Center,,alameda,,social_community,,,,,,,,37.6526652,-121.8810703,2484055382,node,,,,,,community_centre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St Louise Studios,,alameda,,social_community,,,,,jeremy@stlouisestudios.com,,www.stlouisestudios.com,37.826294,-122.285589,2776763150,node,,,,,,arts_centre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,Oakland,US,,,,3431,,94608,CA,Louise Street,
The Crucible,,alameda,,social_community,,,,+1 510 4440919,info@thecrucible.org,,https://www.thecrucible.org/,37.804693,-122.290753,2776772105,node,,,,,,arts_centre,,,,,,,,,,,,,,,,,,,2024-11-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,Q7728245,,en:The Crucible (arts education center),Oakland,US,,,,1260,,94607,CA,7th Street,
American Steel Studios,,alameda,,social_community,,,,+1 510 7767694,info@americansteelstudios.com,,www.americansteelstudios.com,37.814795,-122.288778,2776777489,node,,,,,,arts_centre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,Oakland,US,,,,1960,,94607,CA,Mandela Parkway,
Boys & Girls Club of Alameda,,alameda,,social_community,,,,,,,https://alamedabgc.org/,37.7790856,-122.2861153,3054731034,node,,,,,,community_centre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Marsh Arts Center,,alameda,,social_community,,,,,,,http://www.gaiaarts.com/,37.8694022,-122.2669923,3064282667,node,,,,,,arts_centre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Berkeley,,,,,2120,,,,Allston Way,
East Bay Community Law Center,,alameda,,social_community,,,,,,,,37.8558152,-122.2683904,3190940377,node,,,,,,community_centre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,East Bay Community Law Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Berkeley,,,,,2921,,94703,CA,Adeline Street,
Alameda County Social Services,,alameda,,social_community,,,,,,,,37.7687052,-122.1760693,3799894189,node,,,,,,social_facility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,outreach,underprivileged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mandela Marketplace,,alameda,,social_community,,,,,,,,37.8049543,-122.292523,3974904928,node,,,,,,social_facility,,,,,,,,,,,,,,,,,,,2024-11-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1344,,,,7th Street,
Lions Center for the Blind,,alameda,,social_community,,,,,,,,37.8069282,-122.269325,3981344385,node,,,,,,community_centre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oakland Asian Cultural Center,,alameda,,social_community,,,,,,,,37.8006498,-122.2708699,3992959602,node,,,,,,community_centre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q22077816,,,,,,,,,,,,,
Eastside Cultural Center,,alameda,,social_community,,,,,,,https://www.eastsideartsalliance.org/,37.7835103,-122.2363945,4020776243,node,,,EastSide Arts Alliance,,,arts_centre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
First Place Fund for Youth,,alameda,,social_community,,,,+1-510-272-0979,,,,37.8065217,-122.269081,4096276718,node,,,,,,social_facility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,outreach,juvenile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oakland,,,,,426,,94612,CA,17th Street,
Frank Bette Center for the Arts,,alameda,,social_community,,,,,,,https://www.frankbettecenter.org/,37.7736559,-122.2571098,4386449948,node,,,,,,arts_centre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alameda,,,,,1601,,94501,CA,Paru Street,
Berkeley Food Pantry,,alameda,,social_community,,,,+1-510-525-2280,,,https://www.berkeleyfoodpantry.org/,37.8763732,-122.2832523,4505134119,node,,,,,,social_facility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,convenience,,,,,food_bank,underprivileged,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,Berkeley,US,,,,1600,,94702,CA,Sacramento Street,
,,alameda,,social_community,,,,,,,,37.8702374,-122.2717906,4622849762,node,,,,,,social_facility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,shelter,homeless,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Black Repertory Group,,alameda,,social_community,,,,,,,www.blackrepertorygroup.com,37.8504334,-122.2704155,4675911308,node,,,,,,arts_centre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US,,,,3201,,,CA,Adeline Street,
Casa de Cultura,,alameda,,social_community,,,,,,,https://brasarte.com/,37.8702688,-122.2923517,4782299763,node,,,,,,community_centre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Dance: Capoeira, Afro Brazilian West African, Zumba, Ballet, Percussion",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US,,,,1901,,,CA,San Pablo Avenue,
Sunrise of Oakland Hills,,alameda,,social_community,,,,+1-510-531-7190,,,https://www.sunriseseniorliving.com/,37.7987944,-122.1712027,5074617956,node,,,,,,social_facility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,group_home,senior,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oakland,,,,,11889,,94619,CA,Skyline Boulevard,
Dublin Senior Center,,alameda,,social_community,,,,+1-925-556-4511,,,https://dublin.ca.gov/1053/Senior-Center,37.7077795,-121.9327444,5199035782,node,,,,,,community_centre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mo-Fr 09:00-16:00; Sa 09:00-12:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7600,,,,Amador Valley Boulevard,
McKinley Hall,,alameda,,social_community,,,,,,,,37.8662837,-122.260027,5231663823,node,,,,,,community_centre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2407,,94704,,Dana Street,
Emeryville Center of Community Life,,alameda,,social_community,,,,,,,,37.8358139,-122.2819165,5285594883,node,,,,,,community_centre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ashby Village,,alameda,,social_community,,,,+1-510-204-9200,,,http://ashbyvillage.org/,37.8872865,-122.2736081,5353880028,node,,,,,,social_facility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ngo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,outreach,senior,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Berkeley,US,,,,1953,,94707,CA,Hopkins St,
Sacramento Senior Homes,,alameda,,social_community,,,,+1 510-665-1930,,,,37.8615203,-122.280485,6781589556,node,,,,,,social_facility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,shelter,senior,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1501,,,,Blake Street,
Hong Fook Community-Based Adult Services Center,,alameda,,social_community,,,,,,,https://www.familybridges.org/hong-fook-cbas-centers/,37.8025679,-122.2671065,7443513858,node,,,,,,social_facility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,275,,,,14th Street,
Casa Sandoval,,alameda,,social_community,,,,+1-510-996-5944,morningstarcolorado@gmail.com,,https://www.morningstarseniorliving.com/communities/assisted-living-hayward-ca-sandoval/,37.6774452,-122.0809422,8088332209,node,,,,,,social_facility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,510-727-6734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24/7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,group_home,senior,,,,,,,1989,,,,,,,,,,,,,,,,,,,,,,,Hayward,,,,,1200,,94541,CA,Russell Way,
,,alameda,,social_community,,,,,,,,37.7045158,-121.794852,8250508828,node,,,,,,community_centre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ability Now Bay Area,,alameda,,social_community,,,,,,,,37.8091592,-122.202207,8309289842,node,,,,,,social_facility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pleasanton Meadows Cabana Club,,alameda,,social_community,,,,,,,,37.6958154,-121.871604,8519399471,node,,,,,,community_centre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pleasanton,,,,,4110,,94588,CA,Churchill Drive,
Albany Community Center,,alameda,,social_community,,,,+1 510-524-9283,,,https://www.albanyca.org/Home/Components/FacilityDirectory/FacilityDirectory/75/1660,37.8880249,-122.2929685,8850719967,node,,,,,,community_centre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,,,,1701428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mo 08:30-19:00; Tu-Fr 08:30-17:00,,,,City of Albany Recreation & Community Services Department,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USGS Geonames,,,,,,,,,,,,,,,,,,,,,,,yes,,,,Albany,US,,,,1249,,,CA,Marin Avenue,
Center for Creative Growth,,alameda,,social_community,,,,+1-510-527-2100,,,https://creativegrowth.com/,37.8877996,-122.2942742,8853551949,node,,,,,,community_centre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TriValley Haven Food Pantry,,alameda,,social_community,,,,,,,,37.6834612,-121.7720806,9123028843,node,,,,,,social_facility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,food_bank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Livermore,,,,,150,,94550,CA,North L Street,
Mission Hope Day Program,,alameda,,social_community,,,,,,,,37.6818055,-122.0955323,9608934830,node,,,,,,social_facility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,day_care,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alameda Food Bank,,alameda,,social_community,,,,,,,,37.7842359,-122.2988478,9854893306,node,,,,,,social_facility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Mo,We,Fr 12:00-16:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2727 California Street,,alameda,,social_community,,,,,,,https://2727.today/,37.8580268,-122.2776872,9880060255,node,,,,,,arts_centre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Berkeley,,,,,2727,,94703,CA,California Street,
