name,Collaborated,query_county,city,query_purpose,person_with_relationship,org_contact,org_contact_title,phone,email,contact:email,website,latitude,longitude,osm_id,osm_type,alt_name,amenity,appointment,branch,brand,brand:wikidata,building,building:levels,check_date,check_date:opening_hours,check_date:service:bicycle:pump,contact:facebook,contact:instagram,contact:linkedin,contact:twitter,contact:website,contact:yelp,created_by,currency:USD,ele,height,level,name:ca,note,official_name,old_name,opening_hours,operator,paloalto_ca:id,payment:cash,payment:contactless,payment:credit_cards,payment:debit_cards,payment:litecoin,payment:mastercard,payment:visa,redwood_city_ca:addr_id,redwood_city_ca:bld_gid,rental,roof:shape,second_hand,service:bicycle:Bicycle_Sales_and_Service,service:bicycle:accessories,service:bicycle:bicycle,service:bicycle:bicycle_sales_and_service,service:bicycle:bike,service:bicycle:chain_tool,service:bicycle:cleaning,service:bicycle:clothing,service:bicycle:dealer,service:bicycle:diy,service:bicycle:ebike,service:bicycle:electric_bikes,service:bicycle:mtb,service:bicycle:parts,service:bicycle:pump,service:bicycle:rental,service:bicycle:repair,service:bicycle:retail,service:bicycle:sales,service:bicycle:school,service:bicycle:second_hand,service:bicycle:service,service:bicycle:showroom,service:bicycle:spare_parts,service:bicycle:tools,service:bicycle:training,service:bicycle:wheel,shop,short_name,source,stroller,toilets,walk-in,wheelchair,addr:city,addr:country,addr:housename,addr:housenumber,addr:postcode,addr:state,addr:street,addr:unit
Park Wide Bike Rentals,,san_francisco,,bikeshops,,,,+1-415-671-8989,,,https://parkwide.com/,37.7879768,-122.4081391,332499923,way,,,,,,,pavilion,1,,,,,,,,,,,,,3,,,,,,Mo-Su 08:00-19:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,bicycle,,,,,,,,,,,,,,
Big Swingin' Cycles,,san_francisco,,bikeshops,,,,415-441-6294,,,https://www.bigswingincyclestours.com/,37.796607,-122.4233582,387250476,node,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,bicycle,,,,,,,San Francisco,US,,2260,94109,CA,Van Ness Avenue,
Blazing Saddles,,san_francisco,,bikeshops,,,,,,,,37.8060401,-122.4206145,388206447,node,,,,,,,,,2023-10-10,,,,,,,,,,,,,,bicicleta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,bicycle,,,,,,,,,,,,,,
DD Cycles,,san_francisco,,bikeshops,,,,,,,,37.77536,-122.5024636,409486378,node,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,yes,,,yes,,,,,,,bicycle,,,,,,,,,,4049,,,Balboa Street,
Valencia Cyclery,,san_francisco,,bikeshops,,,,+1-415-550-6600,,,https://www.valenciacyclery.com/,37.7557673,-122.4208616,414269441,node,,,,,,,,,2025-02-11,,,valenciacyclery,valenciacyclery,,,,,,,,,,,,,,Mo-Sa 10:00-18:00; Su 10:00-17:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bicycle,,,,,,,,,,1077,94110,,Valencia Street,
Mike’s Bikes,,san_francisco,,bikeshops,,,,,,,,37.7757293,-122.411959,414269472,node,,,,,,,,,2024-04-14,,,,,,,http://mikesbikes.com,,,,,,,,,,,Mo-Sa 10:00-18:00; Su 10:00-17:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bicycle,,survey,,,,no,San Francisco,,,1233,94103,CA,Howard Street,
Avenue Cyclery,,san_francisco,,bikeshops,,,,,,,,37.767985,-122.4531542,414269873,node,,,,,,,,,2025-06-25,,,,,,,,,,,,,0,,,,,Mo-Tu off; We-Su 11:00-17:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,yes,yes,,,,,,,,,,bicycle,,,,,,yes,,,,756,,,Stanyan Street,
American Cyclery,,san_francisco,,bikeshops,,,,,,,,37.7664614,-122.4532324,414269956,node,,,,,,,,,2025-07-20,2024-12-19,2024-12-19,,,,,,,,,,,0,,,,,"Mo,We-Fr 11:00-18:00; Sa,Su 10:00-17:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,bicycle,,,,,,no,,,,510,,,Frederick Street,
Freewheel Bike Shop,,san_francisco,,bikeshops,,,,,,,,37.7737914,-122.4481572,414270268,node,,,,,,,,,2025-04-12,,,,,,,,,,,,,0,,,,,"Mo,Su off; Tu-Sa 12:00-17:00",,,,,,,,,,,,,,,,yes,,yes,,,,yes,,,,,,yes,no,,yes,yes,yes,,,yes,,yes,,,yes,bicycle,,,,,,yes,,,,1920,,,Hayes Street,
The Bike Hut,,san_francisco,,bikeshops,,,,415-543-4335,,,http://thebikehut.org/,37.7817879,-122.3877446,572156641,way,,,,,,,yes,,2023-05-06,,,,,,,,,,,,,,,,,,Sa-Su 10:00-18:00; We-Fr 10:00-16:00,,,yes,,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,bicycle,,,,,,,,,,,,,,
Trek,,san_francisco,,bikeshops,,,,,,,https://www.trekbikes.com/retail/san_francisco_cow_hollow/,37.7969906,-122.4373328,1277684421,node,Trek Bicycle Store,,,,Trek,Q1067617,,,,,,,,,,,,,,,,,,,,,Mo-Fr 11:00-19:00; Sa 11:00-18:00; Su 11:00-17:00,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,yes,yes,,,,,,,,,,bicycle,,survey;POI website,,,,,San Francisco,,,3001,94123,CA,Steiner Street,
The New Wheel,,san_francisco,,bikeshops,,,,415-524-7362,,,https://newwheel.net,37.7390341,-122.4172366,2148515392,node,,,,,Benno;Gazelle;Riese & Müller;Stromer;Tern,,,,,,,,,,,,,,,,,,,,,,Mo-Su 10:00-18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,yes,,,,,,,,,,bicycle,,,,,,yes,,,,420,94110,,Cortland Avenue,
High Trails Cyclery,,san_francisco,,bikeshops,,,,,,,http://www.hightrailssf.com/,37.7937221,-122.4214909,2588127357,node,,,,,,,,,,,,,,,,,,,,,,,,,,,Mo-Fr 11:00-19:00; Sa 10:00-18:00; Su 11:00-18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bicycle,,,,,,,San Francisco,,,1825,94109,,Polk Street,
Warm Planet Bikes,,san_francisco,,bikeshops,,,,,,,,37.7813306,-122.411801,2616534089,node,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bicycle,,,,,,,San Francisco,,,1098A,94102,,Market Street,
Bike and Roll,,san_francisco,,bikeshops,,,,,,,,37.802572,-122.4137552,3067881433,node,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bicycle,,,,,,,,,,,,,,
Pedal Inn Bike Tours and Provisions,,san_francisco,,bikeshops,,,,415-890-6910,,,www.pedalinn.com,37.7519946,-122.4071224,3079493761,node,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,bicycle,,,,,,no,San Francisco,,,1259,94110,,Hampshire Street,
Bike Kitchen,,san_francisco,,bikeshops,,,,,,,https://bikekitchen.org/,37.7609877,-122.4116329,3309257523,node,,bicycle_repair_station,,,,,,,,,,,,,,,,,,,,,,,,,"6pm-9pm Tuesday, Wednesday, Thursday; noon-3pm Saturday; Womens/Trans/Fem night: 6pm-9pm 2nd and 4th Mondays",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bicycle,,,,,,,San Francisco,US,,650H,94110,CA,Florida Street,
Golden Gate Rides,,san_francisco,,bikeshops,,,,,,,,37.7894236,-122.4079456,3393351143,node,,,,,,,,,2024-03-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bicycle,,,,,,,,,,,,,,
Unlimited Biking,,san_francisco,,bikeshops,,,,,,,,37.7695259,-122.4517055,3801395652,node,,,,,,,,,2025-10-11,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bicycle,,,,,,yes,,,,1792,,,Haight Street,
Swell Bicycles,,san_francisco,,bikeshops,,,,+1 415-731-3838,,,https://swellbicycles.com/,37.7626623,-122.5008937,4015100320,node,,,,,,,,,2023-07-25,,,,,,,,,,,,,0,,,,,"Mo-Tu,Th-Fr 10:00-20:00; Sa-Su 10:00-18:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bicycle,,,,,,yes,San Francisco,US,,4002,94122,CA,Irving Street,
Barbary Coast Cyclery,,san_francisco,,bikeshops,,,,,,,,37.7630714,-122.4855659,4018792701,node,,,,,,,,,2025-02-09,,,,,,,,,,,,,0,,,,,Mo-Sa 11:00-18:00; Su off,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,yes,,,,,,,,,,bicycle,,,,,,,San Francisco,,,2555,94122,CA,Irving Street,
Blazing Saddles,,san_francisco,,bikeshops,,,,,,,,37.8089675,-122.411855,4033949440,node,,,,,,,,,2023-12-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,no,,,,,,,,,,bicycle,,,,,,,,,,,,,,
Blazing Saddles,,san_francisco,,bikeshops,,,,,,,,37.8075441,-122.4201258,4033954298,node,,,,,,,,,2023-12-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,no,,,,,,,,,,bicycle,,,,,,,,,,,,,,
Clubhouse Velo,,san_francisco,,bikeshops,,,,+1-415-294-1907,,,https://www.clubhousevelo.com,37.7755131,-122.499245,4101104052,node,,,required,,,,,,2023-07-29,,,,,,,,,,,,,0,,Shop custom fits bike for clients.,,,"Mo,We,Su off; Tu,Th 09:00-18:30; Fr 09:00-17:00; Sa 10:00-17:00",,,yes,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,,,,,,,bicycle,,,,,no,,San Francisco,,,3785,94121,CA,Balboa Street,
Heavy Metal Bike Shop,,san_francisco,,bikeshops,,,,+1-415-643-3929,,,https://www.heavymetalbikeshop.com/,37.7440817,-122.4222339,4113435900,node,,,,,,,,,,,,,,,,,,,,,,,,,,,10:00-19:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bicycle,,,,,,,,,,82,,,29th Street,
San Francisco Bicycle Rentals,,san_francisco,,bikeshops,,,,+1-415-922-4537,,,https://www.bikerentalsanfrancisco.com/,37.8076253,-122.4193995,4307083195,node,,,,,,,,,2023-12-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,no,,,,,,,,,,bicycle,,,,,,,San Francisco,,,425,,CA,Jefferson Street,
Ocean Cyclery,,san_francisco,,bikeshops,,,,,,,,37.7254111,-122.463139,4331567159,node,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bicycle,,,,,,,San Francisco,,,1935,94112,CA,Ocean Avenue,
Blazing Saddles Bike Rental,,san_francisco,,bikeshops,,,,+1-415-202-8888,,,https://www.blazingsaddles.com/san-francisco/locations,37.787461,-122.4101144,4498319692,node,,,,,,,,,,,,,,,,,,,,,,,,,,,"24/7 off ""temporarily closed""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bicycle,,,,,,,San Francisco,,,433,94102,CA,Mason Street,
Spoke Easy SF,,san_francisco,,bikeshops,,,,,,,https://spokeeasysf.com/,37.7821333,-122.479686,4571201978,node,,,,,,,,,,,,,,,,,,,,,,,,,,,We-Mo 12:00-17:00,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,yes,,,yes,yes,,,,,,,,,,bicycle,,,,,,,San Francisco,,,1901,94121,CA,Clement Street,
CityRide Bike Rentals,,san_francisco,,bikeshops,,,,,,,,37.8063304,-122.4192554,5686877210,node,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,bicycle,,,,,,,,,,,,,,
Don Rafa's Cyclery,,san_francisco,,bikeshops,,,,+1 415-934-1944,,,,37.7650207,-122.41819,5992714947,node,,,,,,,,,2024-04-06,,,,,,,,,,,,,,,,,,Mo-Fr 10:00-18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,bicycle,,,,,,,,,,2929,,,16th Street,
Scenic Routes Community Bicycle Center,,san_francisco,,bikeshops,,,,+1 415 669 0958‬,scenicroutessf@gmail.com,,https://www.scenicroutessf.com/,37.7770896,-122.4645001,6836023082,node,,,,,,,,,2025-11-09,,,,https://www.instagram.com/scenicroutessf/,,https://twitter.com/scenicroutessf,,,,,,,0,,,,,Mo-Tu off; We-Su 12:00-19:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bicycle,,,,,,yes,San Francisco,,,521,94118,CA,Fulton Street,
Huckleberry Bicycles,,san_francisco,,bikeshops,,,,+1-415-484-6575,,,https://www.huckleberrybikes.com/,37.8027852,-122.4020105,8829025966,node,,,,,,,,,,,,,,,,,,,,,,,,,,,Mo-Sa 10:00-17:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bicycle,,,,,,,,,,1255,,,Battery Street,120
Trek,,san_francisco,,bikeshops,,,,,,,https://www.trekbikes.com/us/en_US/retail/san_francisco_soma/,37.7715681,-122.404794,8830579324,node,Trek Bicycle Store,,,San Francisco SOMA,Trek,Q1067617,,,2023-05-21,,,,,,,,,,,,,,,,,,Tu-Fr 11:00-18:00; Sa 10:00-18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,yes,,,,,,,,,,bicycle,,,,,,,,,,869,,,Brannan Street,
Velocipede Cyclery,,san_francisco,,bikeshops,,,,,,,https://www.velocipedecyclery.com/,37.7592811,-122.3882512,8842954877,node,,,,,,,,,,,,,,,,,,,,,,,,,,,Mo-Fr 10:00-19:00; Sa 09:00-18:00; Su 10:00-17:00; PH off,,,yes,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,yes,yes,,,,,,,,,,bicycle,,,,,,,San Francisco,,,2405,94107,CA,3rd Street,
Mash,,san_francisco,,bikeshops,,,,,,,https://mashsf.com/,37.7646107,-122.4310845,10612914638,node,,,,,,,,,2023-02-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bicycle,,,,,,,,,,284,,,Sanchez Street,
Third Rail Ebikes,,san_francisco,,bikeshops,,,,,,,https://www.thirdrailebikes.com/,37.7632286,-122.4126593,10656557656,node,,,,,,,,,2023-02-13,,,,,,,,,,,,,,,,,,,,,,,,,,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bicycle,,,,,,yes,,,,2125,,,Harrison Street,
(in garage),,san_francisco,,bikeshops,,,,,,,,37.7717143,-122.434695,11334789310,node,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bicycle,,,,,,,,,,,,,,
The Hub by BXP,,san_francisco,,bikeshops,,,,,,,,37.7948486,-122.3998788,11965722173,node,,,,,,,,,2022-08-24,,,,,,,,,,,,,,,,,,Mo-Fr 07:00-17:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,bicycle,,,,,,,,,,,,,,
Last Mile,,san_francisco,,bikeshops,,,,,,,,37.777091,-122.422326,12950158476,node,,,,,,,,,2025-06-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bicycle,,,,,,,,,,,,,,
Belmont Bikes,,san_mateo,,bikeshops,,,,,,,,37.5121313,-122.2932711,50417561,way,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bicycle,,,,,,,Belmont,,,2041,94002,CA,Ralston Avenue,
Passion Trail Bikes,,san_mateo,,bikeshops,,,,,,,,37.5263928,-122.2810775,130216215,way,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,yes,,,,,,,,,,bicycle,,,,,,,,,,415C,,,Old County Road,
Garner's Pro Bike Shop,,san_mateo,,bikeshops,,,,+1-650-366-2619,,,,37.4714517,-122.2142198,130819246,way,,,,,,,retail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bicycle,,,,,,,Redwood City,,,2755,94061,,El Camino Real,
GoRide Bicycles,,san_mateo,,bikeshops,,,,+1-650-366-2453,,,https://goridebicycles.com/,37.4712293,-122.2143166,130819247,way,,,,,,,retail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bicycle,,,,,,,Redwood City,,,2757,94061,,El Camino Real,
Chain Reaction Bicycles,,san_mateo,,bikeshops,,,,+1-650-366-7130,,,https://www.chainreaction.com,37.4790902,-122.2257482,240578859,way,,,,,,,retail,,,,,,,,,,,,,,,,,,,,Mo-Fr 11:00-17:30; Sa 10:00-17:00,,,,,,,,,,16718,31767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bicycle,,"City of Redwood City, CA 1013",,,,,Redwood City,,,1680,94063,,El Camino Real,
,,san_mateo,,bikeshops,,,,,,,,37.5860337,-122.3603913,272764075,node,,,,,,,,,,,,,,,,,,Potlatch 0.9c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bicycle,,,,,,,,,,,,,,
Bike Works Bike Shop,,san_mateo,,bikeshops,,,,,,,,37.4637354,-122.4333661,389972714,way,,,,,,,yes,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bicycle,,,,,,,,,,,,,,
Cyclepath,,san_mateo,,bikeshops,,,,+1-650-341-0922,,,https://towne.io/store/cyclepath-of-san-mateo-53,37.5555738,-122.318096,454929330,node,,,,,,,,,2015-01-08,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bicycle,,,,,,,San Mateo,,,1212,94402,CA,South El Camino Real,
Woodside Bike Shop,,san_mateo,,bikeshops,,,,+1 650-299-1071,,,,37.4591436,-122.193738,1411725385,node,,,,,,,,,,,,,,,,,,,,,,,,,,,"Mo-Fr 10:00-18:00; Sa 09:00-18:00,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bicycle,,,,,,,Menlo Park,,,1800,94027,CA,El Camino Real,A
"Véloro Bicycles, Inc.",,san_mateo,,bikeshops,,,,+1-650-241-1060,,,https://www.veloro.com/,37.4851647,-122.2263825,1720118516,node,,,,,,,,,2025-10-29,,,,,,,,,,,,,,,,,,"Mo,Su off; Tu-Sa 11:00-18:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bicycle,,,,,,,Redwood City,,,910,94063,,Main Street,
Bike Shop,,san_mateo,,bikeshops,,,,,,,,37.4846472,-122.1489882,2611183818,node,,,,,,,,,,,,,,,,,,,,,,,,,,,Mo-Fr 09:00-18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,bicycle,,,,,,,,,,,,,,
Woodside Bike Shop,,san_mateo,,bikeshops,,,,+1 650-299-1071,,,https://www.woodsidebikeshop.com,37.4561174,-122.2277672,6575952756,node,,,,,,,retail,,,,,,,,,,,,,,,,,,,,Mo-Sa 11:00-19:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bicycle,,,,,,,Redwood City,,,1523,94061,,Woodside Rd.,
Red Lantern Cycles,,san_mateo,,bikeshops,,,,+1-650-853-3051,,,https://www.redlanterncycles.com/,37.449523,-122.1857588,9735638508,node,,,,,,,,,,,,https://www.facebook.com/124260754276746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bicycle,,,,,,,Menlo Park,,,883,94025,CA,Santa Cruz Avenue,3
Summit Bicycles,,san_mateo,,bikeshops,,,,,,,,37.5863463,-122.3610169,9795874838,node,,,,,,,,,,,,,,,,,,,,,,,,,,,Mo-Fr 10:00-18:00; Sa-Su 10:00-17:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bicycle,,,,,,,,,,,,,,
Cognition Cyclery,,san_mateo,,bikeshops,,,,+1-650-393-5031,info-Cognitioncyclery@specialized.com,,Cognitioncyclery.com,37.5630508,-122.3236054,11492560590,node,,,,,Specialized,,,,,,,,,,,,,,,,,,,,,,"Mo-Sa 10:00-18:00, Su 11:00-17:00",Specialized Bicycle Components,,yes,,yes,,,,,,,,,,,,yes,,,,,,yes,,yes,,yes,,yes,,yes,yes,yes,,,yes,,,,,,bicycle,,,,yes,,yes,San Mateo,,,66,94401,CA,East 4th Avenue,
Live In Peace Bike Shop,,san_mateo,,bikeshops,,,,,,,,37.4741144,-122.1313301,13183309823,node,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bicycle,,,,,,,East Palo Alto,,,2524,94303,CA,Pulgas Avenue,
Cycle Gear,,santa_clara,,bikeshops,,,,,,,,37.0000114,-121.5570168,28338269,way,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bicycle,,,,,,,,,,,,,,
Walt's Cycle,,santa_clara,,bikeshops,,,,+1-408-736-2630,,,,37.3766384,-122.0278212,30911572,way,,,,,,,retail,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,flat,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,bicycle,,bing,,,,,,,,116,,,Carroll Street,
Bicycle Outfitter,,santa_clara,,bikeshops,,,,,,,https://www.bicycleoutfitter.com/,37.3532602,-122.0878368,40534438,way,,,,,,,yes,,,,,,,,,,,,,,,,,,,,Tu-Sa 10:00-18:00; Su 11:00-17:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bicycle,,,,,,,,,,,,,,
VeloTechCycles,,santa_clara,,bikeshops,,,,,,,,37.442693,-122.1597983,132397139,way,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bicycle,,bing,,,,,Palo Alto,,,732,94301,CA,Emerson Street,
Palo Alto Bicycles,,santa_clara,,bikeshops,,,,+1 650 3287411,,,https://www.paloaltobicycles.com/,37.4444942,-122.1631714,132746408,way,,,,,,,yes,,2024-07-19,,,,,,,,,,,,,,,,,,Tu-Sa 10:00-18:00; Su 11:00-17:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bicycle,,bing,,,,,Palo Alto,,,171,94301,CA,University Avenue,
Upshift Cycles,,santa_clara,,bikeshops,,,,,,,https://www.upshiftsj.com/,37.3320547,-121.912332,158248753,way,,,,,,,yes,,,,,,,,,,,,,36.35,6.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,yes,,,,,,,,,,bicycle,,,,,,,San Jose,,,1280,95126,,The Alameda,
Mike's Bikes,,santa_clara,,bikeshops,,,,,,,,37.3071434,-121.8999519,225040394,way,,,,,,,yes,,,,,,,,,,,,,44.65,6.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bicycle,,,,,,,San Jose,,,1180,95125,,Lincoln Avenue,
The Bike Connection,,santa_clara,,bikeshops,,,,,,,,37.4279586,-122.1487441,229811954,way,,,,,,,yes,,2023-12-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bicycle,,,,,,,Palo Alto,US,,2011,94306,,El Camino Real,
Summit Bicycles,,santa_clara,,bikeshops,,,,,,,,37.42663,-122.1447932,232276145,way,,,,,,,yes,,2025-11-14,,,,,,,,,,,,,,,,,,Mo-Fr 11:00-18:00; Sa-Su 10:00-17:00,,27629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bicycle,,,,,,,Palo Alto,,,392,,,South California Avenue,
Cardinal Bike Shop,,santa_clara,,bikeshops,,,,,,,,37.4284015,-122.1493375,232276159,way,,,,,,,yes,,2023-12-30,,,,,,,,,,,,,,,,,,,,7752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bicycle,,City of Palo Alto CA 0713,,,,,Palo Alto,,,1955,,,El Camino Real,
Bicycle Express,,santa_clara,,bikeshops,,,,,,,,37.3300225,-121.8821868,312774153,node,,,,,,,,,,,,,,,,,,,,,,,,,,,Tu-Fr 10:30-19:00; Sa 11:00-18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,bicycle,,,,,,,San Jose,,,131,95112,,East William Street,
The Off Ramp,,santa_clara,,bikeshops,,,,,,,,37.3526394,-121.9678437,317341341,node,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bicycle,,,,,,,Santa Clara,US,,2369,95050,,El Camino Real,
Formerly Crossroads Bicycles,,santa_clara,,bikeshops,,,,,,,,37.2267319,-121.9820963,319524197,node,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bicycle,,,,,,,,,,,,,,
Bike Center,,santa_clara,,bikeshops,,,,,,,,37.007388,-121.5692081,334790396,node,,,,,,,,,,,,,,,,,,Potlatch 0.10f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bicycle,,,,,,,,,,,,,,
Campus Bike Shop,,santa_clara,,bikeshops,,,,,,,https://campusbikeshop.com/,37.4239673,-122.170752,340330779,node,,,,,,,,,,,,,,,,,,,,,,0,,,,,,"M&S Bicycles Stanford, Inc.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,yes,,yes,,,,,,,,,bicycle,,,,,,,Stanford,,,459,94305,CA,Lagunita Drive,12
Summit Bicycles,,santa_clara,,bikeshops,,,,+1-855-245-3663,,,https://www.summitbicycles.com/,37.2214545,-121.9787255,472293239,node,,,,,,,,,,,,,,,,,,,,,,,,,,,Mo-Su 11:00-17:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bicycle,,,,,,,,,,,,,,
Fast Bicycle,,santa_clara,,bikeshops,,,,,,,,37.3578623,-121.8439835,785738607,way,,,,,,,yes,,,,,,,,,,,,,35.33,4.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,bicycle,,,,,,,San Jose,,,2274,95116,,Alum Rock Avenue,
Mike's Bikes,,santa_clara,,bikeshops,,,,,,,https://www.mikesbikes.com/,37.2263579,-121.9823327,856198471,node,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bicycle,,,,,,,,,,,,,,
