name,Collaborated,query_county,city,query_purpose,person_with_relationship,org_contact,org_contact_title,phone,email,contact:email,website,latitude,longitude,osm_id,osm_type,access,air_conditioning,alt_name,alt_name:etymology,amenity,architect,area,atm,bar,barrier,branch,building,building:colour,building:levels,building:material,building:name,building:part,capacity,charge:conditional,check_date,check_date:opening_hours,church:type,cocktails,colour,comedy,comment,contact:facebook,contact:flickr,contact:instagram,contact:linkedin,contact:mastodon,contact:tiktok,contact:tripadvisor,contact:twitter,contact:website,contact:yelp,contact:youtube,covered,cuisine,denomination,description,description:en,description:es,description:fr,description:hi,description:ja,description:ja-Hira,description:ja-Latn,description:ko,description:ru,description:zh,description:zh-Hans,description:zh-Hant,disused:amenity,disused:cuisine,disused:self_service,disused:shop,disused:website,ele,elev,email_1,established,fax,fee,fixme,food,gnis:feature_id,height,heritage,heritage:operator,heritage:website,historic,image,indoor,internet_access,landuse,layer,leisure,level,level:ref,lgbtq,lit,live_music,loc_name,location,man_made,mapillary,massgis:cat,min_age,min_height,name:en,name:es,name:etymology,name:etymology:wikidata,name:fr,name:hi,name:ja,name:ja-Hira,name:ja-Latn,name:ko,name:ru,name:signed,name:zh,name:zh-Hans,name:zh-Hant,note,nrhp:criteria,nrhp:inscription_date,office,official_name,old_name,old_name:1912-1954,old_name:etymology,old_name:etymology:wikidata,opening_date,opening_hours,opening_hours:signed,opening_hours:url,operator,operator:type,operator:wikidata,outdoor_seating,owner,owner:wikidata,ownership,paloalto_ca:id,parking,protection_title,recreation_ground,redwood_city_ca:addr_id,redwood_city_ca:bld_gid,ref,ref:nrhp,religion,reservation,roof:colour,roof:height,roof:levels,roof:material,roof:shape,room,room_type,safety:mask:covid19,seating,shop,short_name,smoking,source,source_ref,sport,start_date,strapline,strapline:es,surface,survey:date,theatre,theatre:genre,theatre:type,toilets:wheelchair,tourism,training,type,was:alt_name,was:amenity,was:capacity,was:cuisine,was:name,was:office,was:shop,was:sport,was:tourism,was:website,was:wikidata,website:calendar,website:map,website:menu,website:tickets,wheelchair,wholesale,wikidata,wikimedia_commons,wikipedia,addr:city,addr:country,addr:county,addr:floor,addr:full,addr:housename,addr:housenumber,addr:postcode,addr:state,addr:street,addr:unit
BATS Improv,,san_francisco,,events,,,,+1-415-474-6776,,,https://www.improv.org/,37.8065143,-122.4317704,3375877708,node,,,,,theatre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,San Francisco,,,,,,,94123,CA,,
The Regency Ballroom,,san_francisco,,events,,,,,,,https://www.theregencyballroom.com/,37.7878176,-122.4215762,3611826293,node,,,,,nightclub,,,,,,,,,,,,,,,2023-01-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,San Francisco,,,,,,1300,94109,CA,Van Ness Avenue,
Encore Karaoke,,san_francisco,,events,,,,,,,,37.7908554,-122.4200374,3635648154,node,,,,,nightclub,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,San Francisco,,,,,,1550 Fl 2,94109,CA,California Street,
Temple Night Club,,san_francisco,,events,,,,+1-415-696-9512,info@templesf.com,,https://www.templesf.com/,37.7878534,-122.3971767,3674104340,node,,,,,nightclub,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,San Francisco,US,,,,,540,94105,CA,Howard Street,
The Marsh,,san_francisco,,events,,,,,,,,37.7557222,-122.4211662,3740701751,node,,,,,theatre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wildlife Theater,,san_francisco,,events,,,,,,,,37.7337496,-122.503295,3860199126,node,,,,,theatre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Teatro Wildlife,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,amphi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Magic Theatre,,san_francisco,,events,,,,,,,,37.8068998,-122.4307824,4022613415,node,,,,,theatre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Southside Theater,,san_francisco,,events,,,,,,,,37.8070202,-122.430854,4022626945,node,,,,,theatre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Young Performers Theatre,,san_francisco,,events,,,,,,,,37.8065723,-122.431342,4022645776,node,,,,,theatre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lucita Niteclub,,san_francisco,,events,,,,,,,,37.7448946,-122.4201726,4139840864,node,,,,,nightclub,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Club 26 Mix,,san_francisco,,events,,,,,,,,37.7487135,-122.418304,4145232889,node,,,,,nightclub,,,,,,,,,,,,,,,2024-04-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3024,,,Mission Street,
Amal's Deli,,san_francisco,,events,,,,,,,,37.7702885,-122.4457035,4618046867,node,,,,,marketplace,,,,,,,retail,,,,,,,,2024-11-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Mo-Th 10:30-24:00, Fr,Sa 10:30-02:00, Su 10:30-24:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,1416,,,Haight Street,
Tuong Phong,,san_francisco,,events,,,,,,,,37.7844939,-122.4166314,4628517640,node,,,,,marketplace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brick and Mortar,,san_francisco,,events,,,,+1 415 8171479,,,https://brickandmortarmusic.com/,37.7696864,-122.4203028,4631667292,node,,,,,theatre,,,,,,,,,,,,,,,,,,,,,,BrickandMortarMusic,,brickmortarsf,,,,,BrickMortarSF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,San Francisco,,,,,,1710,,CA,Mission Street,
Amigos,,san_francisco,,events,,,,,,,,37.7847633,-122.4146073,4631688566,node,,,,,marketplace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500,,,Ellis Street,
PianoFight,,san_francisco,,events,,,,,,,,37.7837503,-122.4107222,5167702928,node,,,,,nightclub,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,San Francisco,,,,,,144,94102,CA,Taylor Street,
Peacock Lounge,,san_francisco,,events,,,,,,,,37.7721064,-122.4313888,5182461992,node,,,,,nightclub,,,,,,,,,,,,,,,2023-11-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,San Francisco,,,,,,552,94117,,Haight Street,
Underground SF,,san_francisco,,events,,,,,,,,37.7723529,-122.4293176,5182462007,node,,,,,nightclub,,,,,,,,,,,,,,,2025-03-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,424,94117,,Haight Street,
SF Citadel,,san_francisco,,events,,,,,,,,37.7841303,-122.4104304,5261258921,node,,,,,nightclub,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Potrero Stage,,san_francisco,,events,,,,,,,,37.7620092,-122.3991043,5506466397,node,,,,,theatre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,limited,,,,,,,,,,,,,,,
Slate,,san_francisco,,events,,,,,,,,37.7650253,-122.4181139,5594507568,node,,,,,nightclub,,,,,,,,,,,,,,,2024-04-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,billiards,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2925,,,16th Street,
Fida Market,,san_francisco,,events,,,,,,,,37.7660549,-122.4196272,5613333166,node,,,,,marketplace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salesforce Park Amphitheater,,san_francisco,,events,,,,,,,,37.7879546,-122.3983118,5827822527,node,,,,,theatre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,amphi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Club Malibu,,san_francisco,,events,,,,,,,,37.7422316,-122.4218441,6191250683,node,,,,,nightclub,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,San Francisco,,,,,,3395,94110,CA,Mission Street,
Brava Theater Center,,san_francisco,,events,,,,,,,https://www.brava.org,37.7527528,-122.4078335,6242792452,node,,,,,theatre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q44633644,,,,,,,,,2781,,,24th Street,
Buriel Clay Theatre,,san_francisco,,events,,,,,,,,37.7783924,-122.4292798,6381489710,node,,,,,theatre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mapbox,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Rabbit Hole Theater Company,,san_francisco,,events,,,,,,,https://therabbitholesf.com/,37.7510539,-122.4364611,6471401827,node,,,,,theatre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,San Francisco,,,,,,800,,,Diamond Street,
ColorBloq,,san_francisco,,events,,,,,,,https://colorbloqsf.com/,37.7790811,-122.3948339,6651406377,node,,,,,events_venue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,San Francisco,,,,,,435,,CA,Brannan Street,110
Audium,,san_francisco,,events,,,,,,,,37.7884216,-122.4242035,6675956469,node,,,,,theatre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,San Francisco,,,,,,,94109,CA,Bush Street,
The SF Market,,san_francisco,,events,,,,,,,https://www.thesfmarket.org/,37.7411787,-122.3949507,6923605960,node,,,San Francisco Wholesale Produce Market,,marketplace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Mo-Fr 03:00-09:00 || ""some businesses open on Saturdays and longer hours""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,212
Presidio Dance Theatre,,san_francisco,,events,,,,,,,,37.8027758,-122.4512476,7700034688,node,,,,,theatre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blue Shield of California Theater at YBCA,,san_francisco,,events,,,,,,,,37.7852456,-122.4011543,8707461392,node,,,,,theatre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caroline H. Hume Concert Hall,,san_francisco,,events,,,,,,,,37.7757077,-122.4203157,8752101308,node,,,,,theatre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,San Francisco Conservatory of Music,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sol Joseph Recital Hall,,san_francisco,,events,,,,,,,,37.775694,-122.4204386,8752101309,node,,,,,theatre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,San Francisco Conservatory of Music,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Osher Salon,,san_francisco,,events,,,,,,,,37.7756766,-122.4205835,8752101310,node,,,,,theatre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,San Francisco Conservatory of Music,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Decker Theater,,san_francisco,,events,,,,,,,,37.7757201,-122.4200637,8752101311,node,,,,,theatre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,New Conservatory Theatre Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Walker Theater,,san_francisco,,events,,,,,,,,37.7756305,-122.4200433,8752101312,node,,,,,theatre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,New Conservatory Theatre Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tucker Theater,,san_francisco,,events,,,,,,,,37.7755309,-122.4200149,8752101313,node,,,,,theatre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,New Conservatory Theatre Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Robert N. Miner Auditorium,,san_francisco,,events,,,,,,,,37.7764045,-122.421694,8752121046,node,,,,,theatre,,,,,,,,,,,,,700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SFJAZZ Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stonestown Farmers Market,,san_francisco,,events,,,,,,,,37.7302007,-122.4790236,8870738756,node,,,,,marketplace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Su 09:00-13:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Théâtre du LFSF,,san_francisco,,events,,,,,,,https://www.lelycee.org/theatre,37.7518296,-122.4766201,9149956415,node,,,,,theatre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LFSF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,san_francisco,,events,,,,,,,,37.7230834,-122.4441965,9251127755,node,,,,,nightclub,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plant Connection SF,,san_francisco,,events,,,,+1 415 2373579,connect@plantconnectionsf.com,,https://www.plantconnectionsf.com/,37.7946072,-122.3993459,9395622559,node,,,,,events_venue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A plant shop and event space that offers plant-related workshops,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Promenade level,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mo-Fr 11:00-19:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,plants,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,San Francisco,,,Promenade Level,,,1,94111,CA,Embarcadero Center,
SVN West,,san_francisco,,events,,,,,,,,37.7746657,-122.419476,9659642111,node,,,,,events_venue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Large space hosting various ""immersive"" multimedia exhibitions",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,designated,,,,,,,,,,,10,,,South Van Ness Avenue,
The Marrakech Magic Theater,,san_francisco,,events,,,,+1 415 7946893,,,https://www.sanfranciscomagictheater.com/,37.7858615,-122.4117507,9706087526,node,,,,,theatre,,,,,,,,,,,,,,,,,,,,,,MarrakechMagicTheaterSF,,marrakechmagictheater,,,,,,,http://www.yelp.com/biz/marrakech-magic-theater-san-francisco-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Flyer,,san_francisco,,events,,,,,,,,37.8087467,-122.4098449,9728292933,node,,,,,theatre,,,,,,,,,,,,,,,2023-12-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Palace of Fine Arts Theatre,,san_francisco,,events,,,,+1 415 855 1607,info@palaceoffinearts.org,,https://www.palaceoffinearts.org/,37.8023338,-122.4492258,10110433994,node,,,,,theatre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.palaceoffinearts.org/,,,,yes,,,,,San Francisco,,,,,,3301,94123,CA,Lyon Street,
Stonestown Farmers Market,,san_francisco,,events,,,,,,,https://www.agriculturalinstitute.org/stonestown,37.7301174,-122.4799993,10261525788,node,,,,,marketplace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Su 09:00-13:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,
Chorus Hall,,san_francisco,,events,,,,,,,https://www.chorushall.com/,37.7731838,-122.4193115,10276807527,node,,,,,theatre,,,,,,,,,,,,,224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,San Francisco,,,,,,30,94103,CA,Otis Street,
