name,Collaborated,query_county,city,query_purpose,person_with_relationship,org_contact,org_contact_title,phone,email,contact:email,website,latitude,longitude,osm_id,osm_type,access,air_conditioning,airside,alt_name,amenity,baby_feeding,bar,books,branch,brand,brand:contact:facebook,brand:contact:instagram,brand:contact:twitter,brand:contact:youtube,brand:wikidata,building,building:levels,building:min_level,building:use,changing_table,changing_table:count,changing_table:location,check_date,check_date:opening_hours,coffee,contact:atom,contact:facebook,contact:instagram,contact:patreon,contact:pinterest,contact:rss,contact:twitter,contact:yelp,contact:youtube,craft,currency:USD,currency:XBT,description,disused,disused:website,ele,facebook,fax,fixme,game,height,image,indoor,internet_access,internet_access:fee,language:zh,level,level:ref,name:en,name:es,name:zh,note,note:opening_hours,office,official_name,old_name,opening_hours,opening_hours:covid19,opening_hours:url,operator,operator:type,operator:wikidata,paloalto_ca:id,payment:american_express,payment:apple_pay,payment:cards,payment:cash,payment:cheque,payment:credit_cards,payment:cryptocurrencies,payment:debit_cards,payment:google_pay,payment:litecoin,payment:mastercard,payment:visa,permit,redwood_city_ca:addr_id,ref,room,safety:mask:covid19,second_hand,shop,short_name,short_name:zh,smoking,source,start_date,stationery,strapline,stroller,survey:date,toilets,tourism,toys,was:shop,website:calendar,wheelchair,wheelchair:description,wikidata,wikimedia_commons,wikipedia,addr:city,addr:country,addr:door,addr:floor,addr:housenumber,addr:place,addr:postcode,addr:state,addr:street,addr:unit
Friends of the Pleasant Hill Library Bookstore,,contra_costa,,bookstores,,,,+1-925-349-9620,,,,37.9642555,-122.062728,9903050745,node,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mo - Su 11:00 - 5:00,,,Friends of the Pleasant Hill Library,,,,,,,yes,,yes,,,,,,,,,,,,,books,,,,,,,,,,,,,,,,,,,,Pleasant Hill,,,,955,,94523,CA,Contra Costa Boulevard,
Kingstone Books,,contra_costa,,bookstores,,,,510-527-6856,,,,37.8986282,-122.3075719,10195853707,node,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,books,,,,,,,,,,,,,,,,,,,,Richmond,US,,,3288,,94704,CA,Pierce Street,D-108
Barnes & Noble,,contra_costa,,bookstores,,,,,,,,37.8958585,-122.061211,10697847987,node,,,,,,,,,,Barnes & Noble,,,,,Q795454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,books,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Half Price Books,,contra_costa,,bookstores,,,,+1-925-288-9060,,,,37.9690949,-122.0566118,11598852134,node,,,,,,,,,,Half Price Books,,,,,Q5641744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mo-Su 10:00-20:00,,,,,,,,,,,,,,,,,,,,,,,,,books,,,,,,,,,,,,,,,,,,,,Concord,,,,1975,,94520,CA,Diamond Blvd,
Reasonable Books,,contra_costa,,bookstores,,,,,,,,37.8904015,-122.1265924,12878460169,node,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,books,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
City Lights Booksellers,,san_francisco,,bookstores,,,,+1 415 3628193,staff@citylights.com,,https://citylights.com/bookstore/,37.7977229,-122.4066741,32858754,way,,,,,,,,,,,,,,,,yes,,,,,,,2025-09-05,,,,CityLightsBooks,citylightsbooks,,,,CityLightsBooks,,https://www.youtube.com/user/CityLightsBooks,,,,,,,,,,,,9,,,,,,,,City Lights Booksellers,,,,,,,,Mo-Su 12:00-20:00,,https://citylights.com/bookstore/,,,,,,,,,,,,,,,,,,,,,,,books,,,,,,,,,,,attraction,,,,limited,Entrance wheelchair accessible but most areas have steps,Q2394278,Category:City Lights Booksellers,en:City Lights Bookstore,San Francisco,,,,261,,94133,CA,Columbus Avenue,
Bird and Beckett,,san_francisco,,bookstores,,,,,,,,37.7344611,-122.4330048,197626871,way,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,Tu-Su 12:00-18:00,,,,,,,,,,,,,,,,,,,,,,,,,books,,,,,,,,,,,,,,,,,,,,,,,,653,,,,Chenery Street,
Kayo Books,,san_francisco,,bookstores,,,,,,,,37.7870405,-122.416849,259965510,way,,,,,,,,,,,,,,,,yes,1,,,,,,2024-09-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,books,,,,,,,,,,,,,,,,,,,,,,,,907,,,,Post Street,
Bolerium Books,,san_francisco,,bookstores,,,,,,,,37.7628118,-122.4189452,260345813,way,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,books,,,,Bing,,,,,,,,,,,,,,,,San Francisco,,,,2141,,94110,,Mission Street,#300
Black Bird Book Store,,san_francisco,,bookstores,,,,,,,https://www.blackbirdbooksf.com/,37.7621558,-122.5067273,277830597,way,,,,,,,,,,,,,,,,yes,,,,no,,,2024-11-30,2024-11-30,yes,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,Mo-Su 09:00-19:00,,,,,,,,,,yes,,yes,,yes,,,,,,,,,,no,books,,,,,,,,,,,,,,,yes,,,,,San Francisco,US,,,4541,,94122,CA,Irving Street,
Telegraph Hill Books,,san_francisco,,bookstores,,,,+1 628 2551998,info@telegraphhillbooks.com,,https://telegraphhillbooks.com/,37.8007601,-122.4077296,366705487,node,,,,,,,,,,,,,,,,,,,,,,,,,,,Telegraph.Hill.Books,telhibooks,,,,TelHiBooks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mo-Sa 10:00-17:00; Su off,,https://telegraphhillbooks.com/,,,,,,,,,,,,,,,,,,,,,,,books,,,,,,,,,,,,,,,,,,,,San Francisco,,,,1501,,94133,CA,Grant Avenue,
Kayo Books,,san_francisco,,bookstores,,,,+1 415 7490554,kayo@kayobooks.com,,https://kayobooks.com/,37.7875285,-122.4153479,429631343,node,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""by appointment or happenstance""",,,,,,,,,,,,,,,,,,,,,,,,,books,,,,survey,,,,,,,,,,,yes,,,,,San Francisco,,,,814,,94109,CA,Post Street,
West Portal Bookstore,,san_francisco,,bookstores,,,,,,,,37.7401084,-122.4668511,638752551,node,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108.0330811,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,books,,,,,,,,,,,,,,,,,,,,San Francisco,US,,,80,,94127,CA,West Portal Avenue,
Louie Brothers Book Store,,san_francisco,,bookstores,,,,,,,,37.7952434,-122.4062874,806236999,node,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,books,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Book Passage,,san_francisco,,bookstores,,,,,,,,37.7958248,-122.3933621,1189071463,way,,,,,,,,,,,,,,,,,,,,,,,2025-03-02,,,,,,,,,,,,,,,,,,,,,,,,,room,,,,0,,,,,,,,,,Mo-Fr 10:00-17:00; Sa 09:00-17:00; Su 11:00-17:00,,,,,,,,,,,,,,,,,,,,,,,,,books,,,,,,,,,,,,,,,limited,,,,,,,,,,,,,,
Chronicle Books,,san_francisco,,bookstores,,,,,,,,37.7809642,-122.3912211,1282135989,node,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,books,,,,,,,,,,,,,,,,,,,,,,,,680,,,,2nd Street,
34 Trinity Arts & News,,san_francisco,,bookstores,,,,,info@34trinity.com,,,37.7906786,-122.4026294,1640211020,node,,,,,,,,,,,,,,,,,,,,,,,2023-06-30,,,,,,,,,,,,,,,Art space and bookstore,,https://www.34trinity.com/,,,,,,,,,,,,,,,,,,,,,G.F. Wilkinson Books,"Mo-Fr 12:00-15:00 ""weather permitting""",,,,,,,,,,,,,,,,,,,,,,,,,books,,,,,,,,,,,,,,,,,,,,,,,,34,,,,Trinity Place,
Green Apple Books,,san_francisco,,bookstores,,,,+1 415 3872272,,,https://www.greenapplebooks.com/,37.7830708,-122.464706,1819811589,node,,,,,,,,,,,,,,,,,,,,,,,2025-04-02,,,,Green.Apple.Books.and.Music,greenapplebooks,,greenapplebooks,,GreenAppleBooks,,https://www.youtube.com/user/GreenAppleBooks,,,no,,,,,,,,,,,,,,,,,,,,,,,,,Mo-Su 10:00-21:00,,https://www.greenapplebooks.com/,,,,,,,,,,,,,,no,,,,,,,,,books,,,,,,,,,2022-11-09,,,,,,yes,,Q5602289,,en:Green Apple Books & Music,San Francisco,,,,506,,94118,CA,Clement Street,
Borderlands Books,,san_francisco,,bookstores,,,,,,,,37.7696311,-122.4508982,2292493555,node,,,,,,,,,,,,,,,,,,,,,,,2025-08-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,11:00-18:00,,,,,,,,,,,,,,,,,,,,,,,,yes,books,,,,survey,2015,,,,,,,,,,yes,,,,,,,,,1740,,94117,,Haight Street,
Whatever,,san_francisco,,bookstores,,,,+1-415-861-9428,,,https://www.whateverstoreonline.com/,37.7600854,-122.4351156,2321299128,node,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,books,,,,,,,,,,,,,,,,,,,,,,,,548,,94114,,Castro Street,
SFSU Bookstore,,san_francisco,,bookstores,,,,,,,,37.722584,-122.4784226,2713443542,node,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,books,,,,,,,,,,,,,,,,,,,,San Francisco,,,,1600,,,,Holloway Avenue,
Green Apple Books on the Park,,san_francisco,,bookstores,,,,+1-415-742-5833,,,https://greenapplebooks.com/,37.7653607,-122.466592,3277678658,node,,,,,,,,,,,,,,,,,,,,,,,2025-10-14,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,books,,,,,,,,,2022-11-09,,,,,,yes,,,,,San Francisco,,,,1231,,94122,CA,9th Avenue,
Books Inc.,,san_francisco,,bookstores,,,,415-931-3633,,,https://www.booksinc.net/SFMarina,37.8001974,-122.4403588,3379996810,node,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mo-Sa 9:00-22:00;Su 9:00-21:00,,,,,,,,,,,,,,,,,,,,,,,,,books,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Omnivore: Books on Food,,san_francisco,,bookstores,,,,,,,https://omnivorebooks.com/,37.7476342,-122.4267905,3454181858,node,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mo-Sa 11:00-18:00; Su 12:00-17:00,,,,,,,,,,,,,,,,,,,,,,,,,books,,,,,,,,,,,,,,,,,,,,San Francisco,,,,3885A,,94131,,Cesar Chavez Street,
Amazing Fantasy,,san_francisco,,bookstores,,,,,,,http://www.amazingfantasy.com/,37.7642429,-122.4650386,3522863338,node,,,,,,,,comic,,,,,,,,,,,,,,,2025-02-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,books,,,,,,,,,,,,,,,yes,,,,,San Francisco,US,,,650,,94122,CA,Irving Street,
Two Cats,,san_francisco,,bookstores,,,,,,,,37.7377555,-122.4696043,3542720510,node,,,,,,,,comic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,books,,,,,,,,,,,,,,,,,,,,San Francisco,US,,,320,,94127,CA,West Portal Avenue,
Globus Books,,san_francisco,,bookstores,,,,,,,,37.7774286,-122.4624807,3802986675,node,,,,,,,,,,,,,,,,,,,,,,,2024-06-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,books,,,,,,,,,,,,,,,,,,,,San Francisco,US,,,332,,94118,CA,Balboa Street,
Isotope - The Comic Book Lounge,,san_francisco,,bookstores,,,,+1-415-621-6543,,,http://isotopecomics.com/,37.7760254,-122.4232007,3873879804,node,,,,,,,,comic,,,,,,,,,,,,,,,2023-03-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,books,,,,,,,,,,,,,,,,,,,,,,,,326,,,,Fell Street,
Comix Experience,,san_francisco,,bookstores,,,,+1 415-863-9258,,,https://www.comixexperience.com/,37.7723937,-122.437438,3931486659,node,,,,,,,,comic,,,,,,,,,,,,,,,2024-10-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Mo,Tu 11:00-18:00; We,Sa 10:00-19:00; Th,Fr,Su 11:00-18:00",,,,,,,,,,,,,,,,,,,,,,,,,books,,,,,,,,,,,,,,,yes,,,,,San Francisco,,,,305,,94117,CA,Divisadero Street,
CCSF Mission Campus Book Store,,san_francisco,,bookstores,,,,,,,,37.7550761,-122.420004,3942453842,node,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,City College of San Francisco,,,,,,,,,,,,,,,,,,,,,,books,,,,,,,,,,,,,,,yes,,,,,San Francisco,,,,1125,,94110,CA,Valencia Street,
CCSF North Beach / Chinatown Bookstore,,san_francisco,,bookstores,,,,,,,,37.7956449,-122.4048543,3960449884,node,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,City College of San Francisco (CCSF),,,,,,,,,,,,,,,,,,,,,,books,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gogo Music & Books,,san_francisco,,bookstores,,,,,,,,37.7959778,-122.4064057,4055481599,node,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,books,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Books Inc.,,san_francisco,,bookstores,,,,+1 415-221-3666,,,https://www.booksinc.net/,37.7864243,-122.4518018,4085027890,node,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mo-Fr 09:00-18:30; Sa-Su 09:00-19:00,,,,,,,,,,,,,,,,,,,,,,,,,books,,,,,,,,,,,,,,,,,,,,San Francisco,,,,3515,,94118,CA,California Street,
Sino American Books & Arts,,san_francisco,,bookstores,,,,,,,,37.7958496,-122.4075164,4106815504,node,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,books,,,,,,,,,,,,,,,,,,,,,,,,751,,,,Jackson Street,
William Stout Architectural Books,,san_francisco,,bookstores,,,,+1 415 391 6757,,,https://stoutbooks.com/,37.7966116,-122.4034029,4186798027,node,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mo-Sa 12:30-17:30,,,,,,,,,,,,,,,,,,,,,,,,,books,,,,,,,,,,,,,,,no,,,,,San Francisco,,,,804,,94133,CA,Montgomery Street,
Harvest Books & Gifts,,san_francisco,,bookstores,,,,,,,,37.7540943,-122.4770986,4199804694,node,,,,,,,,,,,,,,,,,,,,,,,2025-10-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,books,,,,,,,,,,,,,,,,,,,,San Francisco,,,,1237,,94122,CA,Noriega Street,
Mission Comics and Art,,san_francisco,,bookstores,,,,,,,,37.7609903,-122.4194769,4241975787,node,,,,,,,,,,,,,,,,,,,,,,,2025-06-10,,,,,,,,,,,,,,,,,,,,,,,,,,wlan,customers,,,,,,,,,,,,,,,,,,,,,,yes,,yes,,yes,,,,,,,,,,,books,,,,,,,,,,,,,,,,,,,,,,,,2250,,,,Mission Street,
Bound Together Anarchist Bookstore,,san_francisco,,bookstores,,,,+1-415-431-8355,,,https://boundtogether.org/,37.7701942,-122.444747,4346343442,node,,,,,,,,anarchism,,,,,,,,,,,,,,,,,,http://boundtogetherbookssf.github.io,https://www.facebook.com/BoundTogetherBooks/,,,,https://boundtogetherbooks.wordpress.com/feed/,,bound-together-anarchist-collective-bookstore-san-francisco,,,,,,,,,,,,,,https://web.archive.org/web/20161212220101/https://s3-media1.fl.yelpcdn.com/bphoto/B_8rwmnCkSeqlPkqmTTxEw/o.jpg,,,,,,,,,,,,,,,Mo-Su 11:30-19:30,,,,community,,,,,,,,,,,,,,,,,,,,,books,,,,,1976,,,,,,,,,,limited,,Q27991106,,en:Bound Together,,,,,,,,,,
Kinokuniya,,san_francisco,,bookstores,,,,+1 415-567-7625,san_francisco@kinokuniya.com,,https://usa.kinokuniya.com/stores-kinokuniya-san-francisco,37.7849097,-122.4316446,4414004589,node,,,,,,,,comic;children;textbook,,Kinokuniya,KinokuniyaUSA,kinokuniyausa,KinokuniyaUSA,https://www.youtube.com/channel/UCWzDankObAC1UcrZVyQm0Dw,Q703227,,,,,,,,,,,,,,,,,,,,,,,,,,,,+1 415-567-4109,,,,,,,,,0;1,,,,,,,,,,Mo-Su 10:30-20:00,,https://usa.kinokuniya.com/stores-kinokuniya-san-francisco,,,,,,,,,,,,,,,,,,,,,,,books,,,,,,,,,,,,,,,,,,,,San Francisco,,,,1581,,94115,CA,Webster Street,
Books Inc.,,san_francisco,,bookstores,,,,415-776-1111,,,https://www.booksinc.net/SFOpera,37.78162,-122.420827,4567543892,node,,,,,,,,,,,,,,,,,,,,,,,2024-06-02,2024-06-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Books Inc.,,,,,,,,Mo-Su 11:00-18:00,,,,,,,,,,,,,,,,,,,,,,,,,books,,,,,,,,,,,,,,,,,,,,San Francisco,,,,601,,94107,CA,Van Ness Avenue,
Juicy News SF,,san_francisco,,bookstores,,,,,,,,37.7970587,-122.4350421,4567543893,node,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Juicy News SF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,books,,,,,,,,,,,,,,,,,,,,,,,,2181,,,,Union Street,
Chronicle Books,,san_francisco,,bookstores,,,,,,,,37.7979091,-122.4297634,4567603391,node,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chronicle books,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,books,,,,,,,,,,,,,,,,,,,,,,,,1846,,,,Union Street,
Christopher's Books,,san_francisco,,bookstores,,,,+1 415-255-8802,,,https://christophersbooks.com/,37.7626798,-122.3967027,5538811235,node,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mo-Su 10:00-21:00; PH closed,,,,,,,,,,,,,,,,,,,,,,,,no,books,,,,,,,,,,,,,,,,,,,,San Francisco,,,,1400,,94107,CA,18th Street,
Adobe Books and Arts Cooperative,,san_francisco,,bookstores,,,,+1 415 8643936,adobesf@gmail.com,,http://www.adobebooks.com/,37.7525786,-122.4148076,6032494975,node,,,,,,,,,,,,,,,,,,,,,,,,,,,adobebooks,adobebookshop,,,,,,,,,,"Cooperatively run, community oriented used book store with an art gallery in the back and regular literary, music and art events.",,,,,,,,,,,,,,,,,,,,,,,,Mo-Su 12:00-19:00,,https://www.adobebooks.com/,,,,,,,,,,,,,,,,,,,,,,,books,,,,,,,,,,,gallery,,,http://www.adobebooks.com/events,,,,,,San Francisco,,,,3130,,94110,CA,24th Street,
Fabulosa Books,,san_francisco,,bookstores,,,,+1 415 658 7015,,,https://www.fabulosabooks.com/,37.7611148,-122.4349108,6426948686,node,,,,,,,,,,,,,,,,,,,,,,,2024-10-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Mo-Su 10:00-20:00 ""or 9ish""",,,,,,,,,,,,,,,,,,,,,,,,,books,,,,,,,,,,,,,,,,,,,,,,,,489,,94114,,Castro Street,
Libreria Pino,,san_francisco,,bookstores,,,,,,,,37.8006652,-122.4083413,6598000073,node,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mo-Sa 10:00-18:00,,,,,,,,,,,,,,,,,,,,,,,,,books,,,,,,,,,,,,,,,,,,,,San Francisco,,,,548,,94133,CA,Union Street,
Browser Books,,san_francisco,,bookstores,,,,+1 415 5678027,jordan@greenapplebooks.com,,https://www.greenapplebooks.com/,37.7896423,-122.4341538,6598019730,node,,,,,,,,,,,,,,,,,,,,,,,2025-09-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,Mo-Su 10:00-20:00,,https://www.greenapplebooks.com/locations-directions,,,,,,,,,,,,,,,,,,,,,,,books,,,,,,,,,,,,,,,yes,,,,,San Francisco,,,,2195,,94115,CA,Fillmore Street,
Friends Bookstore,,san_francisco,,bookstores,,,,,,,,37.7789102,-122.4156433,6604085446,node,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,area,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,only,books,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Booksmith,,san_francisco,,bookstores,,,,,,,https://www.booksmith.com/,37.769337,-122.4512609,6780093118,node,,,,,,,,,,,,,,,,,,,,,,,2025-08-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,11:00-19:00,,,,,,,,,,,,,,,,,,,,,,,,,books,,,,,,,,,,,,,,,yes,,,,,,,,,1727,,,,Haight Street,
Dog Eared Books,,san_francisco,,bookstores,,,,+1 415 282 1901,,,https://www.dogearedbooks.com/,37.7583887,-122.421416,6780338385,node,,,,,,,,,,,,,,,,,,,,,,,,2024-09-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:00-22:00,,,,,,,yes,,,,,,,,,,yes,yes,,,,,,yes,books,,,,,,,,limited,,,,,,,limited,,,,,San Francisco,,,,900,,94110,CA,Valencia Street,
Forest Books,,san_francisco,,bookstores,,,,+1 415 5638302,zenbooks@earthlink.net,,https://forestbookssf.com/,37.78626,-122.4298254,8957596837,node,,,,,,,,,,,,,,,,,,,,,,,,,,,forestbookssf,forestbookssf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mo-Su 12:00-20:00,,,,,,,,,,,,,,,,,,,,,,,,,books,,,,,,,,,,,,,,,,,,,,San Francisco,,,,1748,,,CA,Buchanan Street,
Argonaut Book Shop,,san_francisco,,bookstores,,,,+1 415 4749067,r_haines@pacbell.net,,https://argonautbookshop.com/,37.7887423,-122.4133163,9397929868,node,,,,,,,,,,,,,,,,,,,,,,,2023-02-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""by appointment""",,,,,,,,,,,,,,,,,,,,,,,,,books,,,,,,,,,,,,,,,yes,,,,,,,,,786,,,,Sutter Street,
Russian Hill Bookstore,,san_francisco,,bookstores,,,,,,,,37.7966842,-122.4217755,9696861040,node,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mo-Su 10:00-20:00,,,,,,,,,,,,,,,,,,,,,,,,,books,,,,,,,,,,,,,,,,,,,,San Francisco,,,,2162,,,CA,Polk Street,
Sour Cherry Comics,,san_francisco,,bookstores,,,,,,,https://www.sourcherrycomics.com/,37.7646875,-122.4237871,9958553993,node,,,,,,,,comic,,,,,,,,,,,,,,,2022-08-17,,,,sourcherrycomics,sourcherrycomics,https://www.patreon.com/sourcherrycomics,,,sourcherrycomix,,,,,,,,,,,,position_estimated,,,,,,,,,,,,,,,,,,Mo 11:00-15:00; Tu 16:00-20:00; We-Sa 11:00-20:00; Su 12:00-18:00,,https://www.sourcherrycomics.com/,,,,,,,,,,,,,,,,,,,,,,,books,,,,,,,,,,,,,,https://www.sourcherrycomics.com/category/events/,no,,,,,San Francisco,,,,3187,,94103,CA,16th Street,
,,san_francisco,,bookstores,,,,,,,,37.7854767,-122.4220711,10005639577,node,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,books,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medicine for Nightmares,,san_francisco,,bookstores,,,,,,,,37.7527054,-122.4126904,10650803521,node,,,,,,,,,,,,,,,,,,,,,,,2025-02-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Medicina para Pesadillas,,,,,,,Mo 12:30-21:00; Tu-Th 12:30-22:00; Fr 12:30-23:00; Sa 12:00-23:00; Su 12:00-21:00,,,,,,,,,,,,,,,,,yes,yes,,,,,,,books,,,,,,,,,,,,,,,,,,,,,,,,3036,,,,24th Street,
Used Book & Media Store,,san_francisco,,bookstores,,,,,,,,37.7216463,-122.4782962,10789049090,node,,,,,,,,,,,,,,,,,,,,,,,2023-04-05,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,1,,,,,,,,,,Mo-Th 11:00-17:00; Fr 11:00-15:00; Sa-Su off,,,,,,,,,,,,,,,,,,,,,,,,only,books,,,,,,,,,,,,,,,,,,,,,,120A,1,,,,,,
Garden Bookstore,,san_francisco,,bookstores,,,,,,,,37.7671605,-122.4670189,10832358131,node,,,,,,,,,,,,,,,,,,,,,,,2023-04-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:00-16:00; PH off,,,,,,,,,,,,,,,,,,,,,,,,,books,,,,,,,,limited,,,,,,,limited,,,,,,,,,,,,,,
Holy Virgin Cathedral Bookstore,,san_francisco,,bookstores,,,,,,,https://hvcbookstore.com,37.7802869,-122.4860196,11065812183,node,,,,,,,,,,,,,,,,,,,,,,,2024-05-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,"Mo-Tu,Th-Fr 11:00-14:00,14:30-17:00; We off; Sa 11:00-15:00; Su 11:30-14:00",,,,,,,,,,,,yes,,,,,,,,,,,,,books,,,,,,,,,,,,,,,no,,,,,,,,,6200,,,,Geary Boulevard,
Unbound Bookstore 格外书店,,san_francisco,,bookstores,,,,,,,https://www.instagram.com/unbound.bookstore/,37.7938742,-122.4066579,12259504142,node,,,,,,,,chinese;literature;social_science,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,An independent Chinese Bookstore and a neighborhood cafe.,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,yes,,yes,,yes,yes,,yes,,yes,yes,,,,,,,books,,,,,,,,,,yes,,,,,yes,,,,,San Francisco,,,,38,,94108,CA,Waverly Place,
